C:\Users\gopal\Desktop\sdc\IMG\center_2020_02_10_21_23_35_547.jpg, C:\Users\gopal\Desktop\sdc\IMG\left_2020_02_10_21_23_35_547.jpg, C:\Users\gopal\Desktop\sdc\IMG\right_2020_02_10_21_23_35_547.jpg, 0, 0, 0, 8.415038E-05
C:\Users\gopal\Desktop\sdc\IMG\center_2020_02_10_21_23_35_657.jpg, C:\Users\gopal\Desktop\sdc\IMG\left_2020_02_10_21_23_35_657.jpg, C:\Users\gopal\Desktop\sdc\IMG\right_2020_02_10_21_23_35_657.jpg, 0, 0, 0, 7.849132E-05
C:\Users\gopal\Desktop\sdc\IMG\center_2020_02_10_21_23_35_764.jpg, C:\Users\gopal\Desktop\sdc\IMG\left_2020_02_10_21_23_35_764.jpg, C:\Users\gopal\Desktop\sdc\IMG\right_2020_02_10_21_23_35_764.jpg, 0, 0, 0, 8.040241E-05
C:\Users\gopal\Desktop\sdc\IMG\center_2020_02_10_21_23_35_871.jpg, C:\Users\gopal\Desktop\sdc\IMG\left_2020_02_10_21_23_35_871.jpg, C:\Users\gopal\Desktop\sdc\IMG\right_2020_02_10_21_23_35_871.jpg, 0, 0, 0, 7.862052E-05
C:\Users\gopal\Desktop\sdc\IMG\center_2020_02_10_21_23_35_977.jpg, C:\Users\gopal\Desktop\sdc\IMG\left_2020_02_10_21_23_35_977.jpg, C:\Users\gopal\Desktop\sdc\IMG\right_2020_02_10_21_23_35_977.jpg, 0, 0, 0, 7.962915E-05
C:\Users\gopal\Desktop\sdc\IMG\center_2020_02_10_21_23_36_090.jpg, C:\Users\gopal\Desktop\sdc\IMG\left_2020_02_10_21_23_36_090.jpg, C:\Users\gopal\Desktop\sdc\IMG\right_2020_02_10_21_23_36_090.jpg, 0, 0, 0, 7.914243E-05
C:\Users\gopal\Desktop\sdc\IMG\center_2020_02_10_21_23_36_201.jpg, C:\Users\gopal\Desktop\sdc\IMG\left_2020_02_10_21_23_36_201.jpg, C:\Users\gopal\Desktop\sdc\IMG\right_2020_02_10_21_23_36_201.jpg, 0, 0, 0, 7.872796E-05
C:\Users\gopal\Desktop\sdc\IMG\center_2020_02_10_21_23_36_305.jpg, C:\Users\gopal\Desktop\sdc\IMG\left_2020_02_10_21_23_36_305.jpg, C:\Users\gopal\Desktop\sdc\IMG\right_2020_02_10_21_23_36_305.jpg, 0, 0, 0, 8.083518E-05
C:\Users\gopal\Desktop\sdc\IMG\center_2020_02_10_21_23_36_415.jpg, C:\Users\gopal\Desktop\sdc\IMG\left_2020_02_10_21_23_36_415.jpg, C:\Users\gopal\Desktop\sdc\IMG\right_2020_02_10_21_23_36_415.jpg, 0, 0, 0, 7.839838E-05
C:\Users\gopal\Desktop\sdc\IMG\center_2020_02_10_21_23_36_523.jpg, C:\Users\gopal\Desktop\sdc\IMG\left_2020_02_10_21_23_36_523.jpg, C:\Users\gopal\Desktop\sdc\IMG\right_2020_02_10_21_23_36_523.jpg, 0, 0, 0, 7.801635E-05
C:\Users\gopal\Desktop\sdc\IMG\center_2020_02_10_21_23_36_643.jpg, C:\Users\gopal\Desktop\sdc\IMG\left_2020_02_10_21_23_36_643.jpg, C:\Users\gopal\Desktop\sdc\IMG\right_2020_02_10_21_23_36_643.jpg, 0, 0, 0, 7.938911E-05
C:\Users\gopal\Desktop\sdc\IMG\center_2020_02_10_21_23_36_752.jpg, C:\Users\gopal\Desktop\sdc\IMG\left_2020_02_10_21_23_36_752.jpg, C:\Users\gopal\Desktop\sdc\IMG\right_2020_02_10_21_23_36_752.jpg, 0, 0.073628, 0, 0.04639203
C:\Users\gopal\Desktop\sdc\IMG\center_2020_02_10_21_23_36_852.jpg, C:\Users\gopal\Desktop\sdc\IMG\left_2020_02_10_21_23_36_852.jpg, C:\Users\gopal\Desktop\sdc\IMG\right_2020_02_10_21_23_36_852.jpg, 0, 0.3740365, 0, 0.4746835
C:\Users\gopal\Desktop\sdc\IMG\center_2020_02_10_21_23_36_955.jpg, C:\Users\gopal\Desktop\sdc\IMG\left_2020_02_10_21_23_36_955.jpg, C:\Users\gopal\Desktop\sdc\IMG\right_2020_02_10_21_23_36_955.jpg, 0, 0.6822121, 0, 1.214933
